ID;Titel_englisch;Jahr
1;Avatar;2009
2;Avengers: Endgame;2019
4;Star Wars: The Force Awakens;2015
5;Avengers: Infinity War;2018
6;Spider-Man: No Way Home;2021
7;Jurassic World;2015
8;The Lion King;2019
9;The Avengers;2012
10;Furious 7;2015
11;Frozen II;2019
12;Avengers: Age of Ultron;2015
13;Black Panther;2018
14;Harry Potter and the Deathly Hallows: Part 2;2011
15;Star Wars: The Last Jedi;2017
16;Jurassic World: Fallen Kingdom;2018
17;Frozen;2013
18;Beauty and the Beast;2017
19;Incredibles 2;2018
20;The Fate of the Furious;2017
21;Iron Man 3;2013
22;Minions;2015
23;Captain America: Civil War;2016
24;Aquaman;2018
25;The Lord of the Rings: The Return of the King;2003
26;Spider-Man: Far From Home;2019
27;Captain Marvel;2019
28;Transformers: Dark of the Moon;2011
29;Skyfall;2012
30;Transformers: Age of Extinction;2014
31;Jurassic Park;1993
32;The Dark Knight Rises;2012
33;Joker;2019
34;Star Wars: The Rise of Skywalker;2019
35;Toy Story 4;2019
36;Toy Story 3;2010
37;Pirates of the Caribbean: Dead Man’s Chest;2006
38;The Lion King;1994
39;Rogue One: A Star Wars Story;2016
40;Aladdin;2019
41;Pirates of the Caribbean: On Stranger Tides;2011
42;Despicable Me 3;2017
43;Finding Dory;2016
44;Star Wars: Episode I – The Phantom Menace;1999
45;Alice in Wonderland;2010
46;Zootopia;2016
47;Harry Potter and the Philosopher’s Stone;2001
48;The Hobbit: An Unexpected Journey;2012
49;The Dark Knight;2008
50;Harry Potter and the Deathly Hallows: Part 1;2010
51;Despicable Me 2;2013
52;The Jungle Book;2016
53;Jumanji: Welcome to the Jungle;2017
54;The Hobbit: The Battle of the Five Armies;2014
55;Pirates of the Caribbean: At World’s End;2007
56;The Hobbit: The Desolation of Smaug;2013
57;The Lord of the Rings: The Two Towers;2002
58;Harry Potter and the Order of the Phoenix;2007
59;Finding Nemo;2003
60;Harry Potter and the Half-Blood Prince;2009
61;Shrek 2;2004
62;Bohemian Rhapsody;2018
63;???;2021
64;The Lord of the Rings: The Fellowship of the Ring;2001
65;Harry Potter and the Goblet of Fire;2005
66;Spider-Man 3;2007
67;Ice Age: Dawn of the Dinosaurs;2009
68;Spectre;2015
69;Spider-Man: Homecoming;2017
70;Harry Potter and the Chamber of Secrets;2002
71;Ice Age: Continental Drift;2012
72;The Secret Life of Pets;2016
73;Batman v Superman: Dawn of Justice;2016
74;Wolf Warrior 2;2017
75;Star Wars: Episode III – Revenge of the Sith;2005
76;The Hunger Games: Catching Fire;2013
77;Guardians of the Galaxy Vol. 2;2017
78;Inside Out;2015
79;Venom;2018
80;Thor: Ragnarok;2017
81;Inception;2010
82;Transformers: Revenge of the Fallen;2009
83;The Twilight Saga: Breaking Dawn – Part 2;2012
84;Spider-Man;2002
85;Wonder Woman;2017
86;??????;2021
87;Independence Day;1996
88;Fantastic Beasts and Where to Find Them;2016
89;Shrek the Third;2007
90;Coco;2017
91;Jumanji: The Next Level;2019
92;Harry Potter and the Prisoner of Azkaban;2004
93;Pirates of the Caribbean: Dead Men Tell No Tales;2017
94;E.T. the Extra-Terrestrial;1982
95;Mission: Impossible – Fallout;2018
97;Indiana Jones and the Kingdom of the Crystal Skull;2008
98;Spider-Man 2;2004
99;Fast & Furious 6;2013
100;Deadpool 2;2018
